,0,1,2
00110053_E.wav,N,N,N
00210222_G.wav,N,N,N
00010342_D#.wav,W,W,W
00000086_F.wav,N,N,N
00010141_F.wav,N,N,N
00200198_F.wav,W,W,N
00210418_D#.wav,N,W,W
00010122_E.wav,N,W,N
00000318_D#.wav,W,W,W
00210385_E.wav,N,W,N
00100033_G.wav,N,N,W
00110178_D#.wav,W,W,W
00200264_F.wav,N,N,N
00000142_G.wav,N,N,N
00000107_G.wav,N,N,N
00200221_F.wav,N,W,W
00100268_E.wav,N,W,W
00100022_D#.wav,N,W,W
00010205_F.wav,W,W,W
00010240_F.wav,W,W,N
00210234_D#.wav,N,N,W
00000365_D#.wav,W,W,N
00110057_F#.wav,N,N,N
00000018_E.wav,N,W,W
00110088_F.wav,N,W,N
00000265_D.wav,W,W,W
00210455_E.wav,N,N,N
00210436_F.wav,N,N,N
00010377_A#.wav,W,W,W
00110283_F#.wav,N,N,N
00210341_A.wav,N,W,W
00010106_D.wav,N,W,N
00100388_E.wav,N,N,N
00210243_F.wav,N,W,W
00200384_F.wav,N,W,W
00000166_F.wav,W,W,N
00000206_D#.wav,W,W,N
00210387_G.wav,W,N,N
00000123_F.wav,N,N,N
00210406_D#.wav,N,W,W
00100113_F#.wav,N,N,W
00100013_F#.wav,N,N,N
00200411_F.wav,N,W,N
00000267_F.wav,N,N,N
00010196_D#.wav,N,W,W
00200370_D#.wav,W,W,W
00100375_E.wav,N,W,W
00210412_G.wav,N,N,N
00100443_F.wav,N,W,W
00110110_F.wav,N,W,W
00010163_A.wav,N,W,N
00010047_E.wav,N,N,N
00110136_E.wav,N,N,N
00010024_F.wav,W,W,N
00100348_E.wav,N,W,W
00000062_G.wav,W,W,N
00100130_D#.wav,N,W,N
00100393_F.wav,N,W,N
00210477_D#.wav,W,W,W
00010360_F.wav,N,W,N
00010325_F.wav,N,N,N
00100049_E.wav,N,W,W
00200045_F.wav,N,W,W
00200026_E.wav,W,W,W
00210363_F.wav,W,W,W
00210326_F.wav,N,W,N
00110074_D#.wav,N,W,N
00110134_G.wav,W,W,W
00110464_F.wav,N,W,W
00000046_F.wav,N,N,N
00000214_D#.wav,N,N,N
00200158_F.wav,N,W,W
00010139_F.wav,N,W,W
00000409_E.wav,W,W,W
00110048_F.wav,W,W,N
00100153_D#.wav,N,N,N
00210469_D#.wav,W,W,W
00200433_D#.wav,N,N,W
00000302_F.wav,W,W,W
00010280_F.wav,N,N,N
00200259_F.wav,N,W,W
00010184_D#.wav,N,N,N
00200024_F.wav,N,W,N
00100006_D#.wav,W,W,W
00200047_E.wav,N,N,N
00200163_A.wav,N,N,W
00200237_D#.wav,N,W,W
00210062_G.wav,W,W,N
00200325_F.wav,N,N,N
00100329_E.wav,N,N,W
00200360_F.wav,W,W,W
00110421_G.wav,N,W,W
00110021_D#.wav,N,W,W
00110296_D#.wav,W,W,W
00110171_F.wav,W,W,W
00100467_F.wav,N,W,W
00010026_E.wav,W,W,W
00210413_F#.wav,N,W,N
00210310_D#.wav,N,N,N
00010045_F.wav,N,W,N
00210210_D#.wav,W,W,W
00100441_E.wav,N,W,W
00210242_F#.wav,N,W,W
00100090_E.wav,N,W,W
00210373_D#.wav,W,W,W
00210422_D#.wav,W,W,N
00200229_D#.wav,N,N,N
00000195_D#.wav,W,N,N
00110390_F.wav,N,W,N
00210273_D#.wav,W,W,W
00000326_F.wav,N,W,N
00010429_D#.wav,N,N,N
00010378_D#.wav,W,N,N
00200478_D#.wav,W,W,W
00000363_F.wav,W,W,W
00010158_F.wav,N,N,N
00210046_F.wav,N,N,W
00110091_F.wav,W,W,W
00200254_D#.wav,N,W,W
00210409_E.wav,W,W,W
00200139_F.wav,N,W,W
00110466_E.wav,W,W,W
00200354_D#.wav,W,W,W
00010259_F.wav,N,N,N
00200280_F.wav,N,N,N
00210302_F.wav,N,W,W
00100092_G.wav,W,W,N
00100165_D#.wav,N,N,N
00200122_E.wav,N,W,N
00100114_D#.wav,N,N,N
00110438_F.wav,N,W,N
00010198_F.wav,N,N,W
00200141_F.wav,W,W,W
00210086_F.wav,N,W,N
00000222_G.wav,N,N,N
00210107_G.wav,N,N,N
00010221_F.wav,N,W,W
00010191_F#.wav,N,N,W
00010264_F.wav,N,N,N
00210142_G.wav,N,N,W
00000385_E.wav,N,N,N
00110350_F.wav,N,W,W
00110284_D#.wav,N,N,W
00200240_F.wav,W,W,N
00200205_F.wav,W,W,W
00210202_D#.wav,W,W,W
00000436_F.wav,N,N,N
00010458_D#.wav,W,W,N
00000353_D#.wav,W,W,W
00210265_D.wav,N,W,W
